Publication Title,Type,Year,Topic,University / Organization,Author,Publication Notes,URL,Reference
"Multimodal Interactive System Design in the Scope of Performing
Arts - Creating a Hybrid Sensing Robot for Ubiquitous Human Machine Interaction",Thesis,2014,Quantified Self / EEG,"Chalmers University of Technology
Gothenburg, Sweden",Michael Shade,,https://publications.lib.chalmers.se/records/fulltext/226492/226492.pdf,Leveraged my work with the Neurosky Brainwave Visualizer - https://eric-blue.com/2011/07/13/neurosky-brainwave-visualizer/
"Processing Load And Biopotentials:
An Evaluation Of A Consumer
Electroencephalogram (EEG)",Research Presentation,2014,Quantified Self / EEG,Andrews University,Kristen Bishop,,https://www.andrews.edu/services/honors/resources/kristen-bishop-presentation.pdf,Leveraged my work with MindStream - https://github.com/ericblue/MindStream
Eunoia (Art Exhibit),Art Exhibit,2013,Quantified Self / EEG,,Lisa Park,,https://www.thelisapark.com/work/eunoia,Leveraged my work with the Neurosky Brainwave Visualizer - https://eric-blue.com/2011/07/13/neurosky-brainwave-visualizer/
"Modeling the Induced Physiological Response to Local Musical
Features via Input-Output Hidden Markov Models",Research Paper,2013,Quantified Self / EEG,Dartmouth,David Rector,Winter2013 final report for CS174,https://www.cs.dartmouth.edu/~lorenzo/teaching/cs174/Archive/Winter2013/Projects/FinalReportWriteup/david.w.rector.gr.pdf,"Blue, Eric. (2011) Neurosky EEG Data Streamer [Computer program]. Available at http://ericblue.com/2011/07/24/mindstream-neurosky-eeg-data-streamer/. "
"Mobilelogging: Assessing
Smartphone Sensors for
Monitoring Sleep Behaviour",Research Paper,2013,Quantified Self,University of Stuttgart,Sven Andre Mayer,"Student Research Project Nr. 2428
",https://www2.informatik.uni-stuttgart.de/bibliothek/ftp/medoc.ustuttgart_fi/STUD-2428/STUD-2428.pdf,Referenced my work [6] Jawbone up api. http://eric-blue.com/projects/up-api/.
"Privacy & the Personal Prospectus:
Should We Introduce Privacy Agents or
Regulate Privacy Intermediaries? ",Law Review Article,2012,Quantified Self,University of Colorado Boulder,Scott R. Peppet,,https://scholar.law.colorado.edu/cgi/viewcontent.cgi?article=1290&context=faculty-articles,"Eric Blue, Fitbit Hacks: Toufficial API & Tools To Get the Most Out of Your Fitbit,
EIRC BLUE'S BLOG, http://eric-blue.com/projects/fitbit (last visited Aug. 12, 2012) (explaining
various Fitbit hacking techniques)."
"Personal Informatics and Context:
Using Context to Reveal Factors that Affect Behavior",Dissertation,2011,Quantified Self,Carnegie Mellon University,Ian Anthony Rosas Li,,https://www.ianli.com/publications/2011-ianli-dissertation.pdf,Referenced my work - https://github.com/ericblue/Perl-FitBit-API
Historični seminar 10,Book,2012,Knowledge Managment,ZRC SAZU - Scientific Research Center of the Slovenian Academy of Sciences and Arts,Katarina Šter,"ZRC SAZU Publishing House
See: https://www.youtube.com/@zrc-sazu/about and https://zalozba.zrc-sazu.si/sl",https://www.google.com/books/edition/Histori%C3%A8ni_seminar_10/HrizKUHOmU0C?hl=en&gbpv=0&fbclid=IwAR0bcd7Hh4RrdXTXPWAqSsVyc2XKUjgbnvq0CayGaP_dNkSkizAF8mKukbo,Eric Blue - Personal Memex - https://eric-blue.com/my-projects/personal-memex/
Collaborative Mind Map Tool To Facilitate Requirement Elicitation ,Conference Paper,2011,Mind Mapping," International Conference on Computing and Informatics, ICOCI","Juliana Jaafar1, Mislina Atan2 and Nazatul Naquiah Ahba Abdul Hamid3","Proceedings of the 3rd International Conference on Computing and Informatics, ICOCI",https://core.ac.uk/download/pdf/42980836.pdf,"Eric T. Blue. (2006). Mind Mapping and the Software Development Life Cycle. Eric's Blue Blog :
 Technology, Philosophy, and Personal Development. Retrieved from
http://eric-blue.com/2006/12/16/mind-mapping-and-the-software-development-life-cycle/"
Knowledge Engineering - WORKBOOK,College Course,2011,Knowledge Management,St. Petersburg State University / Graduate School of Management,"Tatiana A. Gavrilova, Sofya V. Zhukova",,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=82beb04b693feea3957bea5d8f5eac113d96cfb0,"MindMap Viewer - https://eric-blue.com/projects/mindmapviewer/
(https://eric-blue.com/2007/11/25/mindmap-viewer-share-and-embed-mind-manager-maps-today/)"
Technological Model for Map Sharing,Dissertation,2009,Mind Mapping,"School of Education, University of Nottingham",Andy Coverdale,,https://web.archive.org/web/20210201205738/https://sites.google.com/site/andycoverdale/texts/technological-models-for-map-sharing,"Blue, E. (2007). A Call To Action: The Need For A Common Mind Map File Format. Blog post. 24 March. http://eric-blue.com/2007/03/24/a-call-to-action-the-need-for-a-common-mind-map-file-format/"
E-learning Tools and Technologies,Book,2003,Chat,Wiley,"William Horton
Katherine Horton",Wiley Books,https://www.google.com/books/edition/E_learning_Tools_and_Technologies/fyDS2crqAbgC?hl=en&gbpv=1&dq=%22lucid+chat%22+lucidchat.com&pg=PA224&printsec=frontcover,"Lucid Chat - The Future of Web Based Chat
http://www.lucidchat.com"
Chat Decision Assistant: An Online Distance Collaborative Decision Tool,Thesis,2002,Chat,MIT,Shastri Stefan J. Sandy,Submitted to the Department of Electrical Engineering and Computer Science,https://dspace.mit.edu/bitstream/handle/1721.1/87429/53708681-MIT.pdf?sequence=2,"Lucid Chat - The Future of Web Based Chat
http://www.lucidchat.com"
